Area,Year,Age,Population
Saint Vincent and the Grenadines,2005,0--19,41.7
Saint Vincent and the Grenadines,2010,0--19,39.5
Saint Vincent and the Grenadines,2015,0--19,36.7
Samoa,1970,0--19,89.7
Samoa,1975,0--19,93.9
Samoa,1980,0--19,93
Samoa,1985,0--19,90.3
Samoa,1990,0--19,86.7
Samoa,1995,0--19,88.4
Samoa,2000,0--19,89
Samoa,2005,0--19,89.1
Samoa,2010,0--19,90.7
Samoa,2015,0--19,92.8
Sao Tome and Principe,1970,0--19,43.1
Sao Tome and Principe,1975,0--19,48.3
Sao Tome and Principe,1980,0--19,54.9
Sao Tome and Principe,1985,0--19,60.4
Sao Tome and Principe,1990,0--19,66.7
Sao Tome and Principe,1995,0--19,74.2
Sao Tome and Principe,2000,0--19,77.4
Sao Tome and Principe,2005,0--19,86.8
Sao Tome and Principe,2010,0--19,95.1
Sao Tome and Principe,2015,0--19,105.9
Saudi Arabia,1970,0--19,3151.8
Saudi Arabia,1975,0--19,4004.9
Saudi Arabia,1980,0--19,5157.7
Saudi Arabia,1985,0--19,6775.1
Saudi Arabia,1990,0--19,8309.1
Saudi Arabia,1995,0--19,9575.2
Saudi Arabia,2000,0--19,9839.1
Saudi Arabia,2005,0--19,10498.4
Saudi Arabia,2010,0--19,10804.1
Saudi Arabia,2015,0--19,10544.2
Senegal,1970,0--19,2315.9
Senegal,1975,0--19,2699.7
Senegal,1980,0--19,3150.9
Senegal,1985,0--19,3725.1
Senegal,1990,0--19,4362.1
Senegal,1995,0--19,5001.7
Senegal,2000,0--19,5548.6
Senegal,2005,0--19,6189
Senegal,2010,0--19,6998.3
Senegal,2015,0--19,8020.4
Serbia,1970,0--19,2840
Serbia,1975,0--19,2770.1
Serbia,1980,0--19,2865.1
Serbia,1985,0--19,2955.3
Serbia,1990,0--19,2993.4
Serbia,1995,0--19,2965.3
Serbia,2000,0--19,2618.2
Serbia,2005,0--19,2385.2
Serbia,2010,0--19,2141.3
Serbia,2015,0--19,2014.1
Seychelles,1970,0--19,28.5
Seychelles,1975,0--19,31.3
Seychelles,1980,0--19,33.2
Seychelles,1985,0--19,32.3
Seychelles,1990,0--19,32.8
Seychelles,1995,0--19,31.7
Seychelles,2000,0--19,31.3
Seychelles,2005,0--19,29.6
Seychelles,2010,0--19,28.4
Seychelles,2015,0--19,26.2
Sierra Leone,1970,0--19,1324.2
Sierra Leone,1975,0--19,1516.6
Sierra Leone,1980,0--19,1749.6
Sierra Leone,1985,0--19,2021.9
Sierra Leone,1990,0--19,2331.1
Sierra Leone,1995,0--19,2320.7
Sierra Leone,2000,0--19,2477.8
Sierra Leone,2005,0--19,3063.6
Sierra Leone,2010,0--19,3527.7
Sierra Leone,2015,0--19,3881.6
Singapore,1970,0--19,1050.1
Singapore,1975,0--19,1033
Singapore,1980,0--19,939.6
Singapore,1985,0--19,906.5
Singapore,1990,0--19,899.4
Singapore,1995,0--19,998.1
Singapore,2000,0--19,1093.4
Singapore,2005,0--19,1164.1
Singapore,2010,0--19,1234.9
Singapore,2015,0--19,1211
Slovakia,1970,0--19,1711.9
Slovakia,1975,0--19,1681
Slovakia,1980,0--19,1713.4
Slovakia,1985,0--19,1743.4
Slovakia,1990,0--19,1774.7
Slovakia,1995,0--19,1703.2
Slovakia,2000,0--19,1513.7
Slovakia,2005,0--19,1320.4
Slovakia,2010,0--19,1189.9
Slovakia,2015,0--19,1121.3
Slovenia,1970,0--19,551
Slovenia,1975,0--19,547
Slovenia,1980,0--19,570.1
Slovenia,1985,0--19,582.3
Slovenia,1990,0--19,560.5
Slovenia,1995,0--19,514.5
Slovenia,2000,0--19,454.1
Slovenia,2005,0--19,404.5
Slovenia,2010,0--19,391.4
Slovenia,2015,0--19,400.2
Solomon Islands,1970,0--19,86.2
Solomon Islands,1975,0--19,111
Solomon Islands,1980,0--19,132.5
Solomon Islands,1985,0--19,156
Solomon Islands,1990,0--19,178.2
Solomon Islands,1995,0--19,197.7
Solomon Islands,2000,0--19,218
Solomon Islands,2005,0--19,243.6
Solomon Islands,2010,0--19,269.6
Solomon Islands,2015,0--19,295.4
Somalia,1970,0--19,1840.6
Somalia,1975,0--19,2082.1
Somalia,1980,0--19,3403.9
Somalia,1985,0--19,3583.7
Somalia,1990,0--19,3901.9
Somalia,1995,0--19,4123.1
Somalia,2000,0--19,4984.5
Somalia,2005,0--19,5843.4
Somalia,2010,0--19,7015.2
Somalia,2015,0--19,8026.9
South Africa,1970,0--19,11839.8
South Africa,1975,0--19,13532.9
South Africa,1980,0--19,15251.6
South Africa,1985,0--19,17175.7
South Africa,1990,0--19,18692
South Africa,1995,0--19,19638.8
South Africa,2000,0--19,20002.3
South Africa,2005,0--19,20673.8
South Africa,2010,0--19,20896.9
South Africa,2015,0--19,21365.4
South Sudan,1970,0--19,1918.2
South Sudan,1975,0--19,2223.6
South Sudan,1980,0--19,2567.6
South Sudan,1985,0--19,2981.6
South Sudan,1990,0--19,3152.2
South Sudan,1995,0--19,2987.8
South Sudan,2000,0--19,3676.1
South Sudan,2005,0--19,4447.8
South Sudan,2010,0--19,5456.5
South Sudan,2015,0--19,6304.5
Spain,1970,0--19,12225.2
Spain,1975,0--19,12910.3
Spain,1980,0--19,13090.1
Spain,1985,0--19,12359.9
Spain,1990,0--19,11199.3
Spain,1995,0--19,9868.2
Spain,2000,0--19,8676.9
Spain,2005,0--19,8615.8
Spain,2010,0--19,9035
Spain,2015,0--19,9014
Sri Lanka,1970,0--19,6340.4
Sri Lanka,1975,0--19,6730.1
Sri Lanka,1980,0--19,7011.5
Sri Lanka,1985,0--19,7230.4
Sri Lanka,1990,0--19,7266.7
Sri Lanka,1995,0--19,7220.4
Sri Lanka,2000,0--19,6886.6
Sri Lanka,2005,0--19,6686.5
Sri Lanka,2010,0--19,6767.9
Sri Lanka,2015,0--19,6674.7
Sudan,1970,0--19,5802.7
Sudan,1975,0--19,6923.3
Sudan,1980,0--19,8321.4
Sudan,1985,0--19,9837.3
Sudan,1990,0--19,11357.9
Sudan,1995,0--19,13367.5
Sudan,2000,0--19,14961.8
Sudan,2005,0--19,16779.3
Sudan,2010,0--19,18625.7
Sudan,2015,0--19,20258.1
Suriname,1970,0--19,219.2
Suriname,1975,0--19,214.1
Suriname,1980,0--19,191.5
Suriname,1985,0--19,173.3
Suriname,1990,0--19,180.4
Suriname,1995,0--19,189.6
Suriname,2000,0--19,197.7
Suriname,2005,0--19,201.2
Suriname,2010,0--19,200.3
Suriname,2015,0--19,198.6
Swaziland,1970,0--19,258.2
Swaziland,1975,0--19,303.1
Swaziland,1980,0--19,358.8
Swaziland,1985,0--19,420
Swaziland,1990,0--19,505.7
Swaziland,1995,0--19,559.7
Swaziland,2000,0--19,602.9
Swaziland,2005,0--19,611.7
Swaziland,2010,0--19,627.4
Swaziland,2015,0--19,646.4
Sweden,1970,0--19,2232.9
Sweden,1975,0--19,2231.6
Sweden,1980,0--19,2198.1
Sweden,1985,0--19,2102.7
Sweden,1990,0--19,2100.6
Sweden,1995,0--19,2174.4
Sweden,2000,0--19,2142.9
Sweden,2005,0--19,2159.7
Sweden,2010,0--19,2194.7
Sweden,2015,0--19,2194.5
Switzerland,1970,0--19,1918.9
Switzerland,1975,0--19,1905.9
Switzerland,1980,0--19,1759.9
Switzerland,1985,0--19,1645.1
Switzerland,1990,0--19,1571.2
Switzerland,1995,0--19,1635
Switzerland,2000,0--19,1665.5
Switzerland,2005,0--19,1640.7
Switzerland,2010,0--19,1636.1
Switzerland,2015,0--19,1665.3
Syrian Arab Republic,1970,0--19,3768.2
Syrian Arab Republic,1975,0--19,4475
Syrian Arab Republic,1980,0--19,5344.5
Syrian Arab Republic,1985,0--19,6335.8
Syrian Arab Republic,1990,0--19,7279.9
Syrian Arab Republic,1995,0--19,8012.4
Syrian Arab Republic,2000,0--19,8691.4
Syrian Arab Republic,2005,0--19,9273.6
Syrian Arab Republic,2010,0--19,9855.6
Syrian Arab Republic,2015,0--19,9295.6
Taiwan Province of China,1970,0--19,7700.6
Taiwan Province of China,1975,0--19,7868.5
Taiwan Province of China,1980,0--19,7770.7
Taiwan Province of China,1985,0--19,7647.8
Taiwan Province of China,1990,0--19,7386.3
Taiwan Province of China,1995,0--19,7123.3
Taiwan Province of China,2000,0--19,6570.6
Taiwan Province of China,2005,0--19,5928.1
Taiwan Province of China,2010,0--19,5336.4
Taiwan Province of China,2015,0--19,4752.9
Tajikistan,1970,0--19,1609.1
Tajikistan,1975,0--19,1863.6
Tajikistan,1980,0--19,2134
Tajikistan,1985,0--19,2434.3
Tajikistan,1990,0--19,2851.6
Tajikistan,1995,0--19,3126.4
Tajikistan,2000,0--19,3335.1
Tajikistan,2005,0--19,3458.1
Tajikistan,2010,0--19,3597.8
Tajikistan,2015,0--19,3869.8
Thailand,1970,0--19,19908.1
Thailand,1975,0--19,22507.3
Thailand,1980,0--19,24001.4
Thailand,1985,0--19,24188.9
Thailand,1990,0--19,23252.7
Thailand,1995,0--19,22054.8
Thailand,2000,0--19,20557.7
Thailand,2005,0--19,19210.7
Thailand,2010,0--19,17652.3
Thailand,2015,0--19,17174.4
The former Yugoslav Republic of Macedonia,1970,0--19,782.2
The former Yugoslav Republic of Macedonia,1975,0--19,749.9
The former Yugoslav Republic of Macedonia,1980,0--19,753.6
The former Yugoslav Republic of Macedonia,1985,0--19,733.6
The former Yugoslav Republic of Macedonia,1990,0--19,690.6
The former Yugoslav Republic of Macedonia,1995,0--19,661.3
The former Yugoslav Republic of Macedonia,2000,0--19,631.6
The former Yugoslav Republic of Macedonia,2005,0--19,574.7
The former Yugoslav Republic of Macedonia,2010,0--19,522.7
The former Yugoslav Republic of Macedonia,2015,0--19,481.5
Timor-Leste,1970,0--19,315.6
Timor-Leste,1975,0--19,343.5
Timor-Leste,1980,0--19,307.2
Timor-Leste,1985,0--19,337.2
Timor-Leste,1990,0--19,376.2
Timor-Leste,1995,0--19,438.8
Timor-Leste,2000,0--19,528.6
Timor-Leste,2005,0--19,612.4
Timor-Leste,2010,0--19,623.4
Timor-Leste,2015,0--19,700.9
Togo,1970,0--19,1157.6
Togo,1975,0--19,1342.3
Togo,1980,0--19,1538.1
Togo,1985,0--19,1851.4
Togo,1990,0--19,2155.8
Togo,1995,0--19,2423.1
Togo,2000,0--19,2713.3
Togo,2005,0--19,3048
Togo,2010,0--19,3446.5
Togo,2015,0--19,3876.1
Tonga,1970,0--19,49.1
Tonga,1975,0--19,50.4
Tonga,1980,0--19,50.4
Tonga,1985,0--19,51.1
Tonga,1990,0--19,48.2
Tonga,1995,0--19,48.4
Tonga,2000,0--19,49.2
Tonga,2005,0--19,48.5
Tonga,2010,0--19,50
Tonga,2015,0--19,50.6
Trinidad and Tobago,1970,0--19,498.2
Trinidad and Tobago,1975,0--19,503
Trinidad and Tobago,1980,0--19,504.4
Trinidad and Tobago,1985,0--19,515.6
Trinidad and Tobago,1990,0--19,525.9
Trinidad and Tobago,1995,0--19,508.1
Trinidad and Tobago,2000,0--19,467.8
Trinidad and Tobago,2005,0--19,409.7
Trinidad and Tobago,2010,0--19,375.2
Trinidad and Tobago,2015,0--19,369
Tunisia,1970,0--19,2859.6
Tunisia,1975,0--19,3104.8
Tunisia,1980,0--19,3387.7
Tunisia,1985,0--19,3675.8
Tunisia,1990,0--19,3908.5
Tunisia,1995,0--19,4039.5
Tunisia,2000,0--19,3905.8
Tunisia,2005,0--19,3639.4
Tunisia,2010,0--19,3427.2
Tunisia,2015,0--19,3498.6
Turkey,1970,0--19,18234.6
Turkey,1975,0--19,20086.5
Turkey,1980,0--19,21980.8
Turkey,1985,0--19,23686
Turkey,1990,0--19,24944.8
Turkey,1995,0--19,25503.7
Turkey,2000,0--19,25813.9
Turkey,2005,0--19,25790.9
Turkey,2010,0--19,25747.9
Turkey,2015,0--19,26694.8
Turkmenistan,1970,0--19,1190.1
Turkmenistan,1975,0--19,1372.7
Turkmenistan,1980,0--19,1528.4
Turkmenistan,1985,0--19,1660.2
Turkmenistan,1990,0--19,1870.3
Turkmenistan,1995,0--19,2086.1
Turkmenistan,2000,0--19,2117
Turkmenistan,2005,0--19,2101.5
Turkmenistan,2010,0--19,2064.2
Turkmenistan,2015,0--19,2160.8
Uganda,1970,0--19,5411.2
Uganda,1975,0--19,6229.1
Uganda,1980,0--19,7258.9
Uganda,1985,0--19,8517.1
Uganda,1990,0--19,10226.6
Uganda,1995,0--19,12264.6
Uganda,2000,0--19,14537.5
Uganda,2005,0--19,17353.3
Uganda,2010,0--19,20488.1
Uganda,2015,0--19,23848.1
Ukraine,1970,0--19,15703.9
Ukraine,1975,0--19,15119.9
Ukraine,1980,0--19,14587.9
Ukraine,1985,0--19,14496.5
Ukraine,1990,0--19,14549
Ukraine,1995,0--19,13797.2
Ukraine,2000,0--19,12148.7
Ukraine,2005,0--19,10294.1
Ukraine,2010,0--19,9217.5
Ukraine,2015,0--19,8839.5
United Arab Emirates,1970,0--19,103.2
United Arab Emirates,1975,0--19,196.2
United Arab Emirates,1980,0--19,349.8
United Arab Emirates,1985,0--19,512.2
United Arab Emirates,1990,0--19,708.9
United Arab Emirates,1995,0--19,820.5
United Arab Emirates,2000,0--19,1022.1
United Arab Emirates,2005,0--19,1150.2
United Arab Emirates,2010,0--19,1435.5
United Arab Emirates,2015,0--19,1590.6
United Kingdom of Great Britain and Northern Ireland,1970,0--19,17226.2
United Kingdom of Great Britain and Northern Ireland,1975,0--19,17274.2
United Kingdom of Great Britain and Northern Ireland,1980,0--19,16562.8
United Kingdom of Great Britain and Northern Ireland,1985,0--19,15384.7
United Kingdom of Great Britain and Northern Ireland,1990,0--19,14713.5
United Kingdom of Great Britain and Northern Ireland,1995,0--19,14683
United Kingdom of Great Britain and Northern Ireland,2000,0--19,14842.5
United Kingdom of Great Britain and Northern Ireland,2005,0--19,14796.1
United Kingdom of Great Britain and Northern Ireland,2010,0--19,15158.8
United Kingdom of Great Britain and Northern Ireland,2015,0--19,15275.8
United Republic of Tanzania,1970,0--19,7674.7
United Republic of Tanzania,1975,0--19,9074.1
United Republic of Tanzania,1980,0--19,10645.3
United Republic of Tanzania,1985,0--19,12433.3
United Republic of Tanzania,1990,0--19,14448.5
United Republic of Tanzania,1995,0--19,16913
United Republic of Tanzania,2000,0--19,19150.3
United Republic of Tanzania,2005,0--19,22031.3
United Republic of Tanzania,2010,0--19,25672.8
United Republic of Tanzania,2015,0--19,30001.9
United States of America,1970,0--19,78382.8
United States of America,1975,0--19,76023.1
United States of America,1980,0--19,73434.6
United States of America,1985,0--19,71207.7
United States of America,1990,0--19,72830.2
United States of America,1995,0--19,77076
United States of America,2000,0--19,81473.8
United States of America,2005,0--19,83071.7
United States of America,2010,0--19,84099.5
United States of America,2015,0--19,82764.5
United States Virgin Islands,1970,0--19,28.3
United States Virgin Islands,1975,0--19,42.9
United States Virgin Islands,1980,0--19,46.6
United States Virgin Islands,1985,0--19,45.9
United States Virgin Islands,1990,0--19,39.8
United States Virgin Islands,1995,0--19,37.8
United States Virgin Islands,2000,0--19,36.9
United States Virgin Islands,2005,0--19,31.9
United States Virgin Islands,2010,0--19,29.6
United States Virgin Islands,2015,0--19,28.4
Uruguay,1970,0--19,1010.2
Uruguay,1975,0--19,1020
Uruguay,1980,0--19,1031.5
Uruguay,1985,0--19,1042.1
Uruguay,1990,0--19,1069.2
Uruguay,1995,0--19,1081.7
Uruguay,2000,0--19,1070.4
Uruguay,2005,0--19,1047.9
Uruguay,2010,0--19,1026
Uruguay,2015,0--19,992.8
Uzbekistan,1970,0--19,6619.8
Uzbekistan,1975,0--19,7579.6
Uzbekistan,1980,0--19,8398.8
Uzbekistan,1985,0--19,9187.7
Uzbekistan,1990,0--19,10398.9
Uzbekistan,1995,0--19,11505.2
Uzbekistan,2000,0--19,11955.6
Uzbekistan,2005,0--19,11760.6
Uzbekistan,2010,0--19,11552.6
Uzbekistan,2015,0--19,11497.2
Vanuatu,1970,0--19,47.4
Vanuatu,1975,0--19,55.7
Vanuatu,1980,0--19,64.3
Vanuatu,1985,0--19,71.1
Vanuatu,1990,0--19,79
Vanuatu,1995,0--19,89.4
Vanuatu,2000,0--19,97.2
Vanuatu,2005,0--19,105.5
Vanuatu,2010,0--19,112.6
Vanuatu,2015,0--19,122.6
Venezuela (Bolivarian Republic of),1970,0--19,6556.8
Venezuela (Bolivarian Republic of),1975,0--19,7366.8
Venezuela (Bolivarian Republic of),1980,0--19,8138.7
Venezuela (Bolivarian Republic of),1985,0--19,8777.5
Venezuela (Bolivarian Republic of),1990,0--19,9543.5
Venezuela (Bolivarian Republic of),1995,0--19,10309
Venezuela (Bolivarian Republic of),2000,0--19,10847.9
Venezuela (Bolivarian Republic of),2005,0--19,11224.3
Venezuela (Bolivarian Republic of),2010,0--19,11408.4
Venezuela (Bolivarian Republic of),2015,0--19,11571.5
Viet Nam,1970,0--19,23274
Viet Nam,1975,0--19,26193.3
Viet Nam,1980,0--19,28331
Viet Nam,1985,0--19,30517.3
Viet Nam,1990,0--19,32771.2
Viet Nam,1995,0--19,34448.4
Viet Nam,2000,0--19,33817.9
Viet Nam,2005,0--19,31838
Viet Nam,2010,0--19,29826.6
Viet Nam,2015,0--19,28590.9
Western Sahara,1970,0--19,38.2
Western Sahara,1975,0--19,43
Western Sahara,1980,0--19,71.4
Western Sahara,1985,0--19,86.4
Western Sahara,1990,0--19,104.1
Western Sahara,1995,0--19,122.5
Western Sahara,2000,0--19,143
Western Sahara,2005,0--19,181.4
Western Sahara,2010,0--19,187.6
Western Sahara,2015,0--19,195.7
World,1970,0--19,1758758
World,1975,0--19,1902348.4
World,1980,0--19,2025458.6
World,1985,0--19,2143227.4
World,1990,0--19,2270647.6
World,1995,0--19,2355278.9
World,2000,0--19,2420810.7
World,2005,0--19,2457804
World,2010,0--19,2474603.1
World,2015,0--19,2524116.9
Yemen,1970,0--19,3392.9
Yemen,1975,0--19,3928.5
Yemen,1980,0--19,4826.4
Yemen,1985,0--19,6009.7
Yemen,1990,0--19,7484.2
Yemen,1995,0--19,9275.5
Yemen,2000,0--19,10700.5
Yemen,2005,0--19,11896.8
Yemen,2010,0--19,12972.6
Yemen,2015,0--19,13940.4
Zambia,1970,0--19,2390.2
Zambia,1975,0--19,2870.6
Zambia,1980,0--19,3423.3
Zambia,1985,0--19,4041.4
Zambia,1990,0--19,4659.6
Zambia,1995,0--19,5316
Zambia,2000,0--19,6084.5
Zambia,2005,0--19,7026.3
Zambia,2010,0--19,8001.5
Zambia,2015,0--19,9120.2
Zimbabwe,1970,0--19,3045.7
Zimbabwe,1975,0--19,3624.5
Zimbabwe,1980,0--19,4311.8
Zimbabwe,1985,0--19,5118.4
Zimbabwe,1990,0--19,5867.4
Zimbabwe,1995,0--19,6440.8
Zimbabwe,2000,0--19,6830.5
Zimbabwe,2005,0--19,7081.7
Zimbabwe,2010,0--19,7516.7
Zimbabwe,2015,0--19,8234.6
Afghanistan,1970,65+,291.7
Afghanistan,1975,65+,319.1
Afghanistan,1980,65+,319
Afghanistan,1985,65+,256.4
Afghanistan,1990,65+,266.3
Afghanistan,1995,65+,389.4
Afghanistan,2000,65+,440.7
Afghanistan,2005,65+,531
Afghanistan,2010,65+,636.2
Afghanistan,2015,65+,841.1
Albania,1970,65+,111.7
Albania,1975,65+,125.3
Albania,1980,65+,142.1
Albania,1985,65+,160.2
Albania,1990,65+,180.6
Albania,1995,65+,200.2
Albania,2000,65+,220.9
Albania,2005,65+,264.5
Albania,2010,65+,317.9
Albania,2015,65+,366.5
Algeria,1970,65+,511.5
Algeria,1975,65+,600.9
Algeria,1980,65+,665.9
Algeria,1985,65+,764.9
Algeria,1990,65+,875.5
Algeria,1995,65+,1055.6
Algeria,2000,65+,1351.8
Algeria,2005,65+,1644.3
Algeria,2010,65+,1974.6
Algeria,2015,65+,2340.4
Angola,1970,65+,166.6
Angola,1975,65+,188.8
Angola,1980,65+,217.5
Angola,1985,65+,253.9
Angola,1990,65+,283.2
Angola,1995,65+,322.1
Angola,2000,65+,363
Angola,2005,65+,428.2
Angola,2010,65+,498.9
Angola,2015,65+,642.5
Antigua and Barbuda,1970,65+,2.7
Antigua and Barbuda,1975,65+,3.1
Antigua and Barbuda,1980,65+,3.8
Antigua and Barbuda,1985,65+,4.2
Antigua and Barbuda,1990,65+,5
Antigua and Barbuda,1995,65+,5.7
Antigua and Barbuda,2000,65+,5.5
Antigua and Barbuda,2005,65+,6
Antigua and Barbuda,2010,65+,6.3
Antigua and Barbuda,2015,65+,6.6
Argentina,1970,65+,1682.8
Argentina,1975,65+,1995.7
Argentina,1980,65+,2307.8
Argentina,1985,65+,2616.9
Argentina,1990,65+,2963.2
Argentina,1995,65+,3341
Argentina,2000,65+,3673
Argentina,2005,65+,3957.7
Argentina,2010,65+,4289.2
Argentina,2015,65+,4744
Armenia,1970,65+,140.3
Armenia,1975,65+,164.2
Armenia,1980,65+,184.7
Armenia,1985,65+,180.5
Armenia,1990,65+,199.3
Armenia,1995,65+,269.7
Armenia,2000,65+,307.4
Armenia,2005,65+,349.8
Armenia,2010,65+,312.6
Armenia,2015,65+,318.2
Aruba,1970,65+,2.4
Aruba,1975,65+,3.6
Aruba,1980,65+,4.1
Aruba,1985,65+,4.6
Aruba,1990,65+,4.8
Aruba,1995,65+,5.5
Aruba,2000,65+,6.9
Aruba,2005,65+,8.6
Aruba,2010,65+,10.5
Aruba,2015,65+,12.7
Australia,1970,65+,1062
Australia,1975,65+,1218.3
Australia,1980,65+,1414.5
Australia,1985,65+,1620.9
Australia,1990,65+,1897
Australia,1995,65+,2156.1
Australia,2000,65+,2360.5
Australia,2005,65+,2618.1
Australia,2010,65+,2991
Australia,2015,65+,3564.5
Austria,1970,65+,1048.9
Austria,1975,65+,1121.3
Austria,1980,65+,1150.3
Austria,1985,65+,1069.7
Austria,1990,65+,1144.2
Austria,1995,65+,1205.8
Austria,2000,65+,1233.6
Austria,2005,65+,1328.2
Austria,2010,65+,1489.4
Austria,2015,65+,1635.1
Azerbaijan,1970,65+,286.3
Azerbaijan,1975,65+,315.4
Azerbaijan,1980,65+,330.6
Azerbaijan,1985,65+,323.3
Azerbaijan,1990,65+,300.7
Azerbaijan,1995,65+,364.7
Azerbaijan,2000,65+,454.3
Azerbaijan,2005,65+,549.8
Azerbaijan,2010,65+,538.8
Azerbaijan,2015,65+,551.9
Bahamas,1970,65+,5.7
Bahamas,1975,65+,7
Bahamas,1980,65+,8.7
Bahamas,1985,65+,9.9
Bahamas,1990,65+,11.1
Bahamas,1995,65+,13
Bahamas,2000,65+,15.9
Bahamas,2005,65+,20.5
Bahamas,2010,65+,25.1
Bahamas,2015,65+,32.1
Bahrain,1970,65+,5.8
Bahrain,1975,65+,6.6
Bahrain,1980,65+,7.5
Bahrain,1985,65+,11
Bahrain,1990,65+,10.8
Bahrain,1995,65+,13.5
Bahrain,2000,65+,16.3
Bahrain,2005,65+,19.9
Bahrain,2010,65+,25.8
Bahrain,2015,65+,31.9
Bangladesh,1970,65+,1785.4
Bangladesh,1975,65+,2153.5
Bangladesh,1980,65+,2484
Bangladesh,1985,65+,2786.8
Bangladesh,1990,65+,3302.8
Bangladesh,1995,65+,3982.1
Bangladesh,2000,65+,5019.9
Bangladesh,2005,65+,6079.1
Bangladesh,2010,65+,7105.2
Bangladesh,2015,65+,8121.6
Barbados,1970,65+,19.7
Barbados,1975,65+,24.4
Barbados,1980,65+,26.5
Barbados,1985,65+,26.5
Barbados,1990,65+,26.3
Barbados,1995,65+,28.3
Barbados,2000,65+,31.1
Barbados,2005,65+,32.1
Barbados,2010,65+,34.9
Barbados,2015,65+,40.3
Belarus,1970,65+,811.7
Belarus,1975,65+,934.6
Belarus,1980,65+,1038
Belarus,1985,65+,995.9
Belarus,1990,65+,1092.5
Belarus,1995,65+,1262.3
Belarus,2000,65+,1340.6
Belarus,2005,65+,1417.8
Belarus,2010,65+,1324.9
Belarus,2015,65+,1359.8
Belgium,1970,65+,1295
Belgium,1975,65+,1372.3
Belgium,1980,65+,1424.4
Belgium,1985,65+,1353.8
Belgium,1990,65+,1502.6
Belgium,1995,65+,1626.6
Belgium,2000,65+,1737.6
Belgium,2005,65+,1813.8
Belgium,2010,65+,1877.4
Belgium,2015,65+,2047.9
Belize,1970,65+,5.2
Belize,1975,65+,6.1
Belize,1980,65+,6.5
Belize,1985,65+,6.9
Belize,1990,65+,7.7
Belize,1995,65+,9.4
Belize,2000,65+,9.7
Belize,2005,65+,9.5
Belize,2010,65+,12.3
Belize,2015,65+,13.5
Benin,1970,65+,126.7
Benin,1975,65+,135.7
Benin,1980,65+,144.8
Benin,1985,65+,153.8
Benin,1990,65+,166.8
Benin,1995,65+,185.5
Benin,2000,65+,202.1
Benin,2005,65+,229.8
Benin,2010,65+,273.9
Benin,2015,65+,341.4
Bhutan,1970,65+,6.9
Bhutan,1975,65+,8.4
Bhutan,1980,65+,10.4
Bhutan,1985,65+,12.8
Bhutan,1990,65+,15.9
Bhutan,1995,65+,17.2
Bhutan,2000,65+,21.6
Bhutan,2005,65+,26.5
Bhutan,2010,65+,30.4
Bhutan,2015,65+,36.9
Bolivia (Plurinational State of),1970,65+,173.1
Bolivia (Plurinational State of),1975,65+,185.6
Bolivia (Plurinational State of),1980,65+,212.4
Bolivia (Plurinational State of),1985,65+,249.7
Bolivia (Plurinational State of),1990,65+,302.1
Bolivia (Plurinational State of),1995,65+,362.7
Bolivia (Plurinational State of),2000,65+,422.3
Bolivia (Plurinational State of),2005,65+,491.9
Bolivia (Plurinational State of),2010,65+,590.3
Bolivia (Plurinational State of),2015,65+,693.4
Bosnia and Herzegovina,1970,65+,178.4
Bosnia and Herzegovina,1975,65+,221.7
Bosnia and Herzegovina,1980,65+,246.2
Bosnia and Herzegovina,1985,65+,242.5
Bosnia and Herzegovina,1990,65+,287.8
Bosnia and Herzegovina,1995,65+,335.9
Bosnia and Herzegovina,2000,65+,415.5
Bosnia and Herzegovina,2005,65+,503.3
Bosnia and Herzegovina,2010,65+,517
Bosnia and Herzegovina,2015,65+,555.8
Botswana,1970,65+,22.2
Botswana,1975,65+,23.1
Botswana,1980,65+,24.6
Botswana,1985,65+,28.8
Botswana,1990,65+,36.2
Botswana,1995,65+,42.8
Botswana,2000,65+,50.9
Botswana,2005,65+,59.7
Botswana,2010,65+,70.1
Botswana,2015,65+,82.3
Brazil,1970,65+,3283.7
Brazil,1975,65+,3904.6
Brazil,1980,65+,4561.7
Brazil,1985,65+,5192
Brazil,1990,65+,6038.8
Brazil,1995,65+,7293.6
Brazil,2000,65+,8879.4
Brazil,2005,65+,11041
Brazil,2010,65+,13259.8
Brazil,2015,65+,16395.5
Brunei Darussalam,1970,65+,4.6
Brunei Darussalam,1975,65+,5.7
Brunei Darussalam,1980,65+,5.5
Brunei Darussalam,1985,65+,6.3
Brunei Darussalam,1990,65+,6.8
Brunei Darussalam,1995,65+,7.9
Brunei Darussalam,2000,65+,8
Brunei Darussalam,2005,65+,10.9
Brunei Darussalam,2010,65+,13.2
Brunei Darussalam,2015,65+,17.1
Bulgaria,1970,65+,819.2
Bulgaria,1975,65+,953.2
Bulgaria,1980,65+,1055.2
Bulgaria,1985,65+,1019.3
Bulgaria,1990,65+,1160.8
Bulgaria,1995,65+,1263.3
Bulgaria,2000,65+,1326.6
Bulgaria,2005,65+,1338.2
Bulgaria,2010,65+,1355
Bulgaria,2015,65+,1441
Burkina Faso,1970,65+,155.7
Burkina Faso,1975,65+,183.6
Burkina Faso,1980,65+,216.8
Burkina Faso,1985,65+,257.2
Burkina Faso,1990,65+,289.3
Burkina Faso,1995,65+,308
Burkina Faso,2000,65+,320.9
Burkina Faso,2005,65+,344.4
Burkina Faso,2010,65+,385.1
Burkina Faso,2015,65+,436.1
Burundi,1970,65+,103.7
