Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Population Size by Education (000's)"
"De facto population in a country or region, classified by sex and by five-year age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Data for 1950 to 2015: Based on <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>"
"Medium (SSP2)"
" "
"Area","Year","Age","Sex","Education","Population"
"Brazil",2015,"50--54","Female","Short Post Secondary",0
"Brazil",2015,"55--59","Female","Short Post Secondary",0
"Brazil",2015,"60--64","Female","Short Post Secondary",0
"Brazil",2015,"15--19","Male","Bachelor",0
"Brazil",2015,"20--24","Male","Bachelor",589.9
"Brazil",2015,"25--29","Male","Bachelor",1026.2
"Brazil",2015,"30--34","Male","Bachelor",1053.9
"Brazil",2015,"35--39","Male","Bachelor",847.8
"Brazil",2015,"40--44","Male","Bachelor",655.8
"Brazil",2015,"45--49","Male","Bachelor",570.4
"Brazil",2015,"50--54","Male","Bachelor",542.2
"Brazil",2015,"55--59","Male","Bachelor",452.7
"Brazil",2015,"60--64","Male","Bachelor",358
"Brazil",2015,"15--19","Female","Bachelor",0
"Brazil",2015,"20--24","Female","Bachelor",885.4
"Brazil",2015,"25--29","Female","Bachelor",1430
"Brazil",2015,"30--34","Female","Bachelor",1446.7
"Brazil",2015,"35--39","Female","Bachelor",1219.8
"Brazil",2015,"40--44","Female","Bachelor",985.3
"Brazil",2015,"45--49","Female","Bachelor",881.2
"Brazil",2015,"50--54","Female","Bachelor",801.8
"Brazil",2015,"55--59","Female","Bachelor",627.1
"Brazil",2015,"60--64","Female","Bachelor",461.7
"Brazil",2015,"15--19","Male","Master and higher",0
"Brazil",2015,"20--24","Male","Master and higher",11.4
"Brazil",2015,"25--29","Male","Master and higher",38.3
"Brazil",2015,"30--34","Male","Master and higher",49.7
"Brazil",2015,"35--39","Male","Master and higher",55.9
"Brazil",2015,"40--44","Male","Master and higher",55.9
"Brazil",2015,"45--49","Male","Master and higher",51
"Brazil",2015,"50--54","Male","Master and higher",50.4
"Brazil",2015,"55--59","Male","Master and higher",41.7
"Brazil",2015,"60--64","Male","Master and higher",33.8
"Brazil",2015,"15--19","Female","Master and higher",0
"Brazil",2015,"20--24","Female","Master and higher",23.6
"Brazil",2015,"25--29","Female","Master and higher",73.7
"Brazil",2015,"30--34","Female","Master and higher",94
"Brazil",2015,"35--39","Female","Master and higher",61.4
"Brazil",2015,"40--44","Female","Master and higher",54.4
"Brazil",2015,"45--49","Female","Master and higher",47.4
"Brazil",2015,"50--54","Female","Master and higher",48.4
"Brazil",2015,"55--59","Female","Master and higher",37.5
"Brazil",2015,"60--64","Female","Master and higher",27.7
